iter	Passed	Remaining
0	2	2056
1	5	2540
2	6	2140
3	7	1928
4	9	1860
5	10	1770
6	12	1704
7	13	1701
8	15	1711
9	18	1810
10	20	1858
11	22	1849
12	23	1819
13	25	1791
14	27	1774
15	28	1748
16	29	1728
17	32	1798
18	34	1803
19	36	1811
20	38	1817
21	40	1804
22	42	1785
23	43	1764
24	46	1825
25	48	1834
26	50	1820
27	52	1805
28	53	1803
29	55	1791
30	56	1778
31	58	1766
32	62	1820
33	63	1817
34	65	1809
35	67	1808
36	70	1830
37	71	1821
38	75	1855
39	78	1888
40	80	1877
41	82	1875
42	83	1867
43	85	1860
44	87	1852
45	90	1879
46	93	1905
47	96	1907
48	97	1898
49	99	1891
50	101	1890
51	104	1899
52	107	1914
53	108	1907
54	110	1898
55	113	1905
56	115	1904
57	116	1894
58	119	1901
59	121	1908
60	123	1899
61	124	1889
62	126	1881
63	128	1878
64	130	1874
65	136	1934
66	138	1932
67	141	1936
68	142	1928
69	145	1937
70	153	2009
71	156	2019
72	159	2019
73	161	2014
74	163	2014
75	167	2031
76	168	2024
77	170	2015
78	172	2015
79	183	2105
80	186	2120
81	188	2114
82	189	2095
83	191	2089
84	200	2158
85	203	2159
86	205	2153
87	207	2147
88	212	2176
89	215	2182
90	236	2362
91	238	2350
92	240	2348
93	243	2351
94	246	2344
95	247	2334
96	249	2325
97	251	2314
98	253	2308
99	259	2338
100	261	2328
101	263	2317
102	265	2308
103	267	2301
104	273	2331
105	275	2324
106	278	2322
107	279	2309
108	281	2297
109	282	2285
110	283	2272
111	289	2292
112	290	2283
113	292	2274
114	294	2268
115	297	2265
116	301	2277
117	303	2271
118	305	2262
119	307	2252
120	308	2242
121	309	2230
122	311	2220
123	312	2210
124	315	2211
125	318	2210
126	319	2199
127	321	2190
128	323	2181
129	324	2171
130	325	2162
131	327	2155
132	331	2164
133	333	2157
134	335	2151
135	337	2144
136	339	2137
137	341	2132
138	346	2147
139	349	2144
140	351	2139
141	352	2129
142	354	2124
143	356	2117
144	359	2122
145	362	2121
146	364	2114
147	366	2107
148	367	2100
149	369	2095
150	371	2088
151	375	2096
152	377	2090
153	379	2082
154	381	2077
155	382	2071
156	384	2063
157	385	2057
158	389	2062
159	392	2059
160	393	2049
161	395	2043
162	396	2037
163	398	2031
164	400	2024
165	401	2019
166	407	2033
167	409	2026
168	410	2020
169	412	2013
170	413	2006
171	415	2000
172	417	1993
173	421	1999
174	423	1994
175	425	1990
176	426	1984
177	428	1977
178	429	1970
179	431	1963
180	434	1966
181	437	1965
182	440	1965
183	442	1960
184	444	1957
185	446	1953
186	451	1961
187	452	1956
188	454	1950
189	456	1945
190	457	1939
191	460	1936
192	462	1933
193	466	1937
194	468	1933
195	470	1928
196	472	1925
197	474	1920
198	476	1916
199	479	1918
200	482	1916
201	483	1911
202	485	1907
203	488	1904
204	490	1900
205	492	1899
206	495	1899
207	497	1894
208	499	1889
209	500	1884
210	502	1879
211	504	1875
212	508	1880
213	511	1878
214	513	1876
215	515	1871
216	517	1867
217	519	1863
218	524	1868
219	526	1867
220	528	1864
221	531	1861
222	533	1859
223	535	1856
224	539	1859
225	541	1856
226	543	1852
227	546	1852
228	549	1850
229	552	1850
230	555	1848
231	557	1845
232	558	1840
233	560	1835
234	562	1830
235	565	1830
236	568	1829
237	570	1827
238	572	1822
239	574	1819
240	575	1813
241	577	1809
242	579	1804
243	580	1799
244	584	1801
245	586	1796
246	587	1792
247	589	1787
248	591	1784
249	593	1781
250	595	1776
251	598	1777
252	600	1773
253	602	1768
254	603	1764
255	605	1759
256	607	1755
257	608	1750
258	610	1747
259	614	1747
260	615	1743
261	617	1739
262	619	1737
263	621	1733
264	623	1729
265	628	1733
266	630	1730
267	633	1729
268	636	1730
269	638	1726
270	641	1726
271	644	1725
272	646	1722
273	648	1719
274	651	1718
275	653	1714
276	656	1712
277	658	1711
278	661	1709
279	665	1712
280	667	1708
281	673	1714
282	675	1712
283	677	1709
284	679	1705
285	681	1700
286	682	1696
287	684	1692
288	687	1691
289	689	1687
290	691	1685
291	693	1681
292	695	1677
293	697	1674
294	701	1677
295	703	1673
296	706	1672
297	708	1669
298	710	1666
299	712	1662
300	717	1666
301	719	1662
302	720	1658
303	722	1654
304	724	1650
305	726	1646
306	730	1648
307	732	1646
308	734	1643
309	736	1640
310	738	1636
311	741	1634
312	745	1635
313	748	1634
314	749	1630
315	751	1626
316	753	1622
317	755	1619
318	757	1616
319	762	1619
320	764	1616
321	765	1612
322	767	1609
323	770	1606
324	772	1603
325	776	1605
326	779	1603
327	781	1600
328	783	1597
329	784	1593
330	787	1591
331	791	1592
332	793	1589
333	795	1586
334	797	1583
335	799	1580
336	801	1577
337	805	1576
338	807	1574
339	809	1572
340	811	1568
341	813	1564
342	816	1563
343	818	1560
344	821	1558
345	822	1555
346	824	1551
347	828	1551
348	830	1549
349	832	1546
350	835	1543
351	836	1540
352	838	1536
353	840	1533
354	843	1532
355	849	1537
356	851	1533
357	853	1530
358	855	1526
359	856	1523
360	859	1520
361	860	1517
362	864	1516
363	866	1513
364	867	1509
365	869	1506
366	871	1502
367	873	1499
368	875	1496
369	878	1495
370	880	1493
371	882	1489
372	884	1486
373	886	1484
374	888	1481
375	890	1478
376	894	1477
377	895	1474
378	897	1471
379	899	1468
380	901	1465
381	904	1463
382	910	1466
383	913	1466
384	917	1465
385	919	1462
386	925	1465
387	927	1463
388	933	1466
389	937	1466
390	940	1464
391	942	1462
392	945	1460
393	948	1458
394	950	1455
395	953	1454
396	955	1450
397	956	1447
398	958	1443
399	961	1441
400	965	1442
401	967	1439
402	970	1437
403	972	1435
404	975	1433
405	977	1430
406	980	1429
407	985	1429
408	987	1426
409	990	1424
410	995	1426
411	997	1423
412	999	1420
413	1001	1417
414	1003	1414
415	1005	1411
416	1008	1410
417	1011	1408
418	1013	1405
419	1015	1402
